"","Var1","Freq"
"1","Adorján, Johanna",4
"2","Ahrens, Renate",1
"3","Aichinger, Ilse",2
"4","Anderson, Poppy J.",3
"5","Andreas-Salomé, Lou",2
"6","Arendt, Hannah",1
"7","Arndt, Karin",1
"8","Arslan Yeşilay, Sibel",1
"9","Atäşi, Nuridä",1
"10","Auel, Jean M.",1
"11","Auffermann, Verena",1
"12","Ausländer, Rose",4
"13","Ayim, May",1
"14","Bachmann, Ingeborg",25
"15","Bánk, Zsuzsa",1
"16","Baronsky, Eva",2
"17","Baum, Vicki",4
"18","Bazyar, Shida",1
"19","Becker Alvarez, Nora",2
"20","Beer, Alex",1
"21","Beerwald, Sina",1
"22","Berg, Ellen",2
"23","Berg, Sibylle",3
"24","Bergmann, Renate",1
"25","Berkéwicz, Ulla",2
"26","Berlin, Katja",1
"27","Bickel, Margot",2
"28","Binder, Christiane Maria",1
"29","Binkert, Dörthe",4
"30","Bodmershof, Imma",1
"31","Bodrožić, Marica",1
"32","Bold, Emily",1
"33","Bomann, Corina",10
"34","Bossong, Nora",1
"35","Breznik, Melitta",3
"36","Bronsky, Alina",8
"37","Brown, Andrea",1
"38","Brückner, Christine",1
"39","Burkart, Erika",2
"40","Busch, Andrea C.",1
"41","Busch, Petra",1
"42","Buschinger, Danielle",1
"43","Calonego, Bernadette",2
"44","Canetti, Veza",5
"45","Cavelius, Alexandra",1
"46","Chaplet, Anne",1
"47","Cordes-Vollert, Doris",1
"48","Courant, Maria",1
"49","Czurda, Elfriede",2
"50","Danella, Utta",1
"51","Dānišwar, Sīmīn",1
"52","Dehe, Astrid",1
"53","Demirkan, Renan",1
"54","Dieckmann, Dorothea",1
"55","Dohm, Hedwig",1
"56","Domin, Hilde",1
"57","Dorn, Thea",2
"58","Dörrie, Doris",10
"59","Dragnić, Nataša",6
"60","Dübgen, Hannah",1
"61","Dückers, Tanja",2
"62","Dürr, Carola",1
"63","Durst-Benning, Petra",19
"64","Duve, Karen",1
"65","Ebner, Jeannie",1
"66","Edschmid, Ulrike",1
"67","Eismann, Beate",1
"68","Elmiger, Dorothee",2
"69","Erb, Elke",1
"70","Erpenbeck, Jenny",14
"71","Esterl, Arnica",1
"72","Falk, Rita",4
"73","Faschinger, Lilian",4
"74","Faschon, Susanne",1
"75","Fast, Christa",1
"76","Fischer, Erica",1
"77","Fischer, Marie Louise",2
"78","Fitzgerald, Penelope",1
"79","Flašar, Milena Michiko",3
"80","Fortunas, Hede",1
"81","Franck, Julia",11
"82","Frischmuth, Barbara",5
"83","Fritz, Marianne",1
"84","Fröhlich, Susanne",1
"85","Gablé, Rebecca",1
"86","Gaponenko, Marjana",2
"87","Geißler, Heike",1
"88","George, Nina",9
"89","Gesthuysen, Anne",1
"90","Gier, Kerstin",8
"91","Glaesener, Helga",2
"92","Gmeyner, Anna",1
"93","Goga-Klinkenberg, Susanne",1
"94","Gogoll, Ruth",1
"95","Goldstein, Barbara",1
"96","Gomringer, Nora",1
"97","Gottsched, Luise Adelgunde Victorie",1
"98","Grän, Christine",1
"99","Grill, Evelyn",4
"100","Grjasnowa, Olga",1
"101","Gröschner, Annett",1
"102","Groß, Claudia",2
"103","Grube, Tina",1
"104","Gruber, Sabine",2
"105","Grundmann, Harriet",2
"106","Grünzweig, Dorothea",1
"107","Hacker, Katharina",5
"108","Haderlap, Maja",1
"109","Hagena, Katharina",5
"110","Hahn, Ulla",1
"111","Haidegger, Christine",1
"112","Haifisch, Anna",1
"113","Hammer, Agnes",1
"114","Hammesfahr, Petra",11
"115","Hanika, Beate Teresa",1
"116","Hanika, Iris",2
"117","Hansen, Dörte",1
"118","Haratischwili, Nino",5
"119","Hartlieb, Petra",2
"120","Hasler, Eveline",3
"121","Haucke, Ursula",1
"122","Hauer, Elisabeth",1
"123","Hauptmann, Gaby",10
"124","Haushofer, Marlen",6
"125","Hausmann, Romy",1
"126","Heidenreich, Elke",10
"127","Heinrich, Jutta",1
"128","Heitmann, Tanja",1
"129","Held, Monika",2
"130","Heldt, Dora",13
"131","Heller, Eva",4
"132","Hermann, Judith",14
"133","Hess, Annette",2
"134","Hildebrandt, Irma",1
"135","Hlawaty, Graziella",1
"136","Hoepfner, Inge",1
"137","Holst, Evelyn",1
"138","Honigmann, Barbara",2
"139","Hoppe, Felicitas",3
"140","Hörnigk, Therese",1
"141","Hoyer, Heike",1
"142","Hummel, Eleonora",1
"143","Jäckle, Nina",3
"144","Jansen, Hanna",1
"145","Jelinek, Elfriede",47
"146","Kahn, Lisa",1
"147","Kaiser, Gloria",3
"148","Kalisa, Karin",1
"149","Kaschnitz, Marie Luise",2
"150","Kebir, Sabine",1
"151","Keller, Claudia",2
"152","Kerschbaumer, Marie-Thérèse",1
"153","Keun, Irmgard",8
"154","Khayat, Rasha",1
"155","Kim, Anna",1
"156","Kinkel, Tanja",2
"157","Kinsky, Esther",2
"158","Kirsch, Sarah",2
"159","Köhler, Karen",1
"160","Kolmar, Gertrud",2
"161","König, Barbara",2
"162","Königsdorf, Helga",1
"163","Körber, Lili",1
"164","Korber, Tessa",1
"165","Krall, Hanna",1
"166","Krechel, Ursula",1
"167","Kreslehner, Gabi",4
"168","Krien, Daniela",3
"169","Kronauer, Brigitte",2
"170","Krügel, Mareike",2
"171","Krüger, Renate",1
"172","Kuckart, Judith",2
"173","Kuhn, Krystyna",1
"174","Kuttner, Sarah",1
"175","Lambeck, Silke",1
"176","Landmann, Salcia",1
"177","Lange, Laura",1
"178","Lark, Sarah",13
"179","Lasker-Schüler, Else",7
"180","Lavant, Christine",2
"181","Lavee, Ingrid",1
"182","Leeb, Root",1
"183","Leinemann, Susanne",1
"184","Leky, Mariana",2
"185","Lenz, Anita",1
"186","Lenze, Ulla",2
"187","Lewitscharoff, Sibylle",6
"188","Lind, Hera",2
"189","Link, Charlotte",13
"190","Loher, Dea",1
"191","Löhnig, Inge",2
"192","Long, Yingtai",1
"193","Lorentz, Iny",1
"194","Lorenz-Lindemann, Karin",1
"195","Lorenz, Dagmar C. G.",1
"196","Lorenz, Wiebke",3
"197","Löwenberg, Nele",1
"198","Lucas, Charlotte",2
"199","Lustiger, Gila",1
"200","Marly, Michelle",1
"201","Maron, Monika",9
"202","Martini, Christiane",1
"203","Mayer, Gina",1
