"","Var1","place_freq_all","place_freq_f","perc"
"1","",2468,78,3.16045380875203
"2","Aachen",8,4,50
"3","Aarhus",41,10,24.390243902439
"4","Aartselaar",32,4,12.5
"5","Abcoude",6,2,33.3333333333333
"6","Abū Ẓabī",8,4,50
"7","Acireale",1,1,100
"8","Aix en Provence",4,3,75
"9","Aizkrauklē",1,1,100
"10","Ålbæk",2,1,50
"11","Albany",5,2,40
"12","Alfragide",38,7,18.4210526315789
"13","Alger",1,1,100
"14","Algés",16,1,6.25
"15","Alings as",1,1,100
"16","Alkmaar",51,4,7.84313725490196
"17","Almaty",2,1,50
"18","Altea",1,1,100
"19","Alzira",9,4,44.4444444444444
"20","Amersfoort",4,2,50
"21","Amsterdam",1152,329,28.5590277777778
"22","Andorra LaVella",1,1,100
"23","Anghiari",7,4,57.1428571428571
"24","Ankara",32,8,25
"25","Antwerpen",24,6,25
"26","Apeldoorn",3,1,33.3333333333333
"27","Argentinien",1,1,100
"28","Arles",178,60,33.7078651685393
"29","Ashland",7,2,28.5714285714286
"30","Askim",1,1,100
"31","Athēna",540,86,15.9259259259259
"32","Augsburg",9,3,33.3333333333333
"33","Austin",3,2,66.6666666666667
"34","Baambrugge",19,5,26.3157894736842
"35","Baarn",59,9,15.2542372881356
"36","Bad Bellingen",13,1,7.69230769230769
"37","Bad Oldesloe",1,1,100
"38","Badalona",2,1,50
"39","Bairūt",20,2,10
"40","Bakı",28,3,10.7142857142857
"41","Baltimore",6,1,16.6666666666667
"42","Banská Bystrica",2,1,50
"43","Barcarena",8,6,75
"44","Barcelona",1949,361,18.5223191380195
"45","Bari",3,2,66.6666666666667
"46","Barneveld",4,1,25
"47","Barnsley",3,1,33.3333333333333
"48","Barth",1,1,100
"49","Basel",3,1,33.3333333333333
"50","Baume les Dames",2,2,100
"51","Baumes les Dames",1,1,100
"52","Bègles",1,1,100
"53","Beijing",119,23,19.327731092437
"54","Bellinzona",27,1,3.7037037037037
"55","Belval",7,3,42.8571428571429
"56","Ben Shemen",2,2,100
"57","Benalmádena",5,3,60
"58","Bene Beraḳ",7,3,42.8571428571429
"59","Beograd",549,105,19.1256830601093
"60","Bergamo",4,1,25
"61","Bergisch Gladbach",18,3,16.6666666666667
"62","Berkeley",10,1,10
"63","Berlin",160,28,17.5
"64","Bern",12,1,8.33333333333333
"65","Bernay",4,4,100
"66","Bernex Genève",1,1,100
"67","Besançon",3,1,33.3333333333333
"68","Beşiktaş",7,2,28.5714285714286
"69","Beyoğlu",44,12,27.2727272727273
"70","Białystok",4,1,25
"71","Bielsko Biała",6,1,16.6666666666667
"72","Bistriţa",1,1,100
"73","Bitola",5,2,40
"74","Bleiswijk",13,2,15.3846153846154
"75","Bloomington",2,1,50
"76","Bochum",4,1,25
"77","Bogotá",2,1,50
"78","Bologna",14,1,7.14285714285714
"79","Bolzano",8,1,12.5
"80","Bordeaux",7,3,42.8571428571429
"81","Boston",22,3,13.6363636363636
"82","Boulder",4,1,25
"83","Bratislava",320,79,24.6875
"84","Bratislawa",1,1,100
