"","X.1","place","subject","identifier","type","lastname","firstname","translator","title","volume","edition","place_4","place_3","place_2","publisher","year","format","ISBN","ISSN","ISMN","EAN.UPC","binding.price","language","country","date.of.publication","description","collective.title","links","relation","rights","subject.headings","connected.titles","uniform.title","frequency","wv.number","Freq","X","latitude","longitude","author"
"127",127,"","","ISBN:978-3-442-24263-4 kart. : EUR 13.00 (DE), EUR 13.40 (AT), sfr 23.90 (freier Pr.), IDN:991547608","","Gerold","Susanne",NA,"4. Die geborene Herrscherin / übers. von Susanne Gerold","4. Die geborene Herrscherin / übers. von Susanne Gerold","1. Aufl.",NA,NA,NA,NA,2009,"575 S.","978-3-442-24263-4","",NA,NA,"kart. : EUR 13.00 (DE), EUR 13.40 (AT), sfr 23.90 (freier Pr.)","ger","","",NA,"Blanvalet ; 24263","","http://d-nb.info/971940061, http://d-nb.info/960701087",NA,"","","","","08,N51,2226 , 09,A34,1949",2468,1,NA,NA,"Gerold, Susanne"
"147",147,"","","IDN:104802315X",NA,"Brodsḳi","ʿAdah"," Salṭon, Tsevi [Mitwirkender]","[CD] / ḳeriʾah: ʿAdah Brodsḳi (Germani), Tsevi Salṭon (ʿIvrit)","[CD] / ḳeriʾah: ʿAdah Brodsḳi (Germani), Tsevi Salṭon (ʿIvrit)","",NA,NA,NA,NA,1999,"1 CD","",NA,NA,NA,"","heb","","","","","","http://d-nb.info/1106355040",NA,"","","","","94,P01",2468,1,NA,NA,"Brodsḳi, ʿAdah"
"151",151,"","","ISBN:80-7203-118-X Pp. : Kč 259.00, IDN:96277457X",NA,"Vízdalová","Ivana",NA,"3. Gertruda [u.a.] / [z německého orig. přel. Ivana Vízdalová]","3. Gertruda [u.a.] / [z německého orig. přel. Ivana Vízdalová]","1. vyd.",NA,NA,NA,NA,1999,"332 S.","80-7203-118-X",NA,NA,NA,"Pp. : Kč 259.00","cze","","","","","","http://d-nb.info/956332048",NA,"","","","","02,G01,2228",2468,1,NA,NA,"Vízdalová, Ivana"
"159",159,"","","ISBN:978-80-7008-323-9 Pp., 80-7008-323-9, IDN:1052082432","","Augustová","Zuzana",NA,"1. / [Z německého orig. přel. Zuzana Augustová ...]","1. / [Z německého orig. přel. Zuzana Augustová ...]","1. vyd.",NA,NA,NA,NA,2013,"502 S.","978-80-7008-323-9",NA,NA,NA,"Pp.","cze","","",NA,"Edice Divadelní hry ; Sv. 13","Inhaltsverzeichnis [http://d-nb.info/1052082432/04]","http://d-nb.info/1072634910, http://d-nb.info/020974825",NA,"","","",NA,"15,A28",2468,1,NA,NA,"Augustová, Zuzana"
"164",164,"","","ISBN:978-975-510-872-8 kart. : YTL 45.00, IDN:99347151X","","Kantemir","İris",NA,"Cilt 2. / Almanca aslından çeviren İris Kantemir","Cilt 2. / Almanca aslından çeviren İris Kantemir","5. basım",NA,NA,NA,NA,2009,"458 S.","978-975-510-872-8","",NA,NA,"kart. : YTL 45.00","tur","","",NA,"Can yayınları ; 890; [Can yayınları / Modern klasikler] Can yayınları, Modern klasikler ; 97","","http://d-nb.info/958621896, http://d-nb.info/975089021",NA,"","","","","09,A39,1703",2468,1,NA,NA,"Kantemir, İris"
"172",172,"","","ISBN:978-83-60699-16-4 Broschur, 83-60699-16-X, IDN:1036911659","","Baniewicz","Elżbieta"," Brandstaetter, Roman [Mitwirkender]","Tom 2 / posłowie Elżbieta Baniewicz ; Polish translation: Roman Brandstaetter, Jacek St. Buras, Maciej Ganczar, Jacek Kaduczak, Mariusz Lubyk, Monika Mikina, Monika Muskała, Monika Wąsik","Tom 2 / posłowie Elżbieta Baniewicz ; Polish translation: Roman Brandstaetter, Jacek St. Buras, Maciej Ganczar, Jacek Kaduczak, Mariusz Lubyk, Monika Mikina, Monika Muskała, Monika Wąsik","",NA,NA,NA,NA,2012,"455 Seiten ; 21 cm","978-83-60699-16-4",NA,NA,NA,"Broschur","pol","","",NA,"","Inhaltsverzeichnis [http://d-nb.info/1036911659/04]","http://d-nb.info/1126065021",NA,"","","",NA,"94,P01",2468,1,NA,NA,"Baniewicz, Elżbieta"
"174",174,"","","ISBN:978-94-014-1007-6 kart., IDN:104857914X","","De Lombaert","Anja",NA,"Op hoop van zege / [vertaling: Anja De Lombaert]","Op hoop van zege / [vertaling: Anja De Lombaert]","",NA,NA,NA,NA,2013,"216 S.","978-94-014-1007-6",NA,NA,NA,"kart.","dut","","",NA,"","","http://d-nb.info/1067881425",NA,"","","",NA,"15,A15",2468,1,NA,NA,"De Lombaert, Anja"
"176",176,"","","ISBN:978-975-510-872-8 kart., IDN:993471382","","Kantemir","İris",NA,"Cilt 1. / Almanca aslından çeviren İris Kantemir","Cilt 1. / Almanca aslından çeviren İris Kantemir","5. basım",NA,NA,NA,NA,2009,"423 S.","978-975-510-872-8","",NA,NA,"kart.","tur","","",NA,"Can yayınları ; 890; [Can yayınları / Modern klasikler] Can yayınları, Modern klasikler ; 97","","http://d-nb.info/958621896, http://d-nb.info/975089021",NA,"","","","","09,A39,1703",2468,1,NA,NA,"Kantemir, İris"
"189",189,"","59 Belletristik ; 49 Theater, Tanz, Film","ISBN:2-234-02341-6 Pp. : ffr 89.00, IDN:930454537",NA,"Howard","Karin",NA,"2. À la recherche du Pays fantastique : suite de célèbre film d'après le thème du roman de Michael Ende / Trad. de l'allemand par Joe͏̈lle Girardin. Photos: Karlheinz Vogelmann. [D'après le scénario de Karin Howard]","2. À la recherche du Pays fantastique : suite de célèbre film d'après le thème du roman de Michael Ende / Trad. de l'allemand par Joe͏̈lle Girardin. Photos: Karlheinz Vogelmann. [D'après le scénario de Karin Howard]","",NA,NA,NA,NA,1991,"96 S. : Ill.","2-234-02341-6",NA,NA,NA,"Pp. : ffr 89.00","fre","","","","","","http://d-nb.info/552035300",NA,"","","","","93,G02,0971",2468,1,NA,NA,"Howard, Karin"
"240",240,"","","ISBN:978-7-5327-6320-7 Pp. : RMB Y 42.00, IDN:1051814693","","Chen","Wei",NA,"Xiao shi jie = Small world / Chen Wei yi","Xiao shi jie = Small world / Chen Wei yi","Di 1 ban",NA,NA,NA,NA,2014,"9, 309 S.","978-7-5327-6320-7",NA,NA,NA,"Pp. : RMB Y 42.00","chi","",NA,NA,"","","http://d-nb.info/1052612814",NA,"","","","","14,A28",2468,1,NA,NA,"Chen, Wei"
"300",300,"","","ISBN:978-80-87469-12-5 Pp., 80-87469-12-7, IDN:1034286420",NA,"Nová","Petra",NA,"Jen počkej, zloději! / [z orig. přel.: Petra Nová]","Jen počkej, zloději! / [z orig. přel.: Petra Nová]","",NA,NA,NA,NA,2011,"75 S. : Ill.","978-80-87469-12-5",NA,NA,NA,"Pp.","cze","",NA,NA,"","","http://d-nb.info/1052044034",NA,"","","","","14,A26",2468,1,NA,NA,"Nová, Petra"
