"","author","title_freq","lang_freq","place_freq"
"1","A., Sonay",1,1,1
"2","Abedi, Isabel",1,1,1
"3","Abel, Winnie",5,2,2
"4","Adam, Gabi",1,1,1
"5","Adams, Lilly",1,1,1
"6","Adler, Katharina",1,1,1
"7","Adorján, Johanna",15,11,12
"8","Aehnlich, Kathrin",1,1,1
"9","Ahern, Cecelia",2,1,2
"10","Ahlers, Marieta",2,1,1
"11","Ahrens, Hanna",1,1,1
"12","Ahrens, Renate",1,1,1
"13","Aichinger, Ilse",23,15,20
"14","Aiken, Joan",1,1,1
"15","Aksu Yılmazer, Zehra",1,1,1
"16","Alekseeva, Irina Sergeevna",1,1,1
"17","Alexander, Anne",1,1,1
"18","Alpsten, Ellen",3,3,3
"19","Amrein, Nicole",2,2,2
"20","Andeck, Mara",1,1,1
"21","Anderka, Johanna",1,1,1
"22","Anderson, Poppy J.",7,4,4
"23","Andreas-Salomé, Lou",8,3,5
"24","Antonietti, Federica",1,1,1
"25","Aoyama, Akane",1,1,1
"26","Apostolova, Božana",1,1,1
"27","Arendt, Hannah",3,3,3
"28","Arndt, Karin",1,1,1
"29","Arold, Marliese",2,2,2
"30","Arslan Yeşilay, Sibel",1,1,1
"31","Arzeni, Flavia",1,1,1
"32","Atäşi, Nuridä",1,1,1
"33","Auel, Jean M.",1,1,1
"34","Auffermann, Verena",1,1,1
"35","Augustin, Anita",1,1,1
"36","Augustová, Zuzana",4,1,1
"37","Aumale, Austra",1,1,1
"38","Ausländer, Rose",26,12,18
"39","Austen, Jane",1,1,1
"40","Averbeck, Sanne",1,1,1
"41","Aydemir, Fatma",1,1,1
"42","Ayim, May",1,1,1
"43","Ayoub, Susanne",1,1,1
"44","Babendererde, Antje",1,1,1
"45","Bach, Tabea",11,6,6
"46","Bachér, Ingrid",1,1,1
"47","Bachmann, Ingeborg",108,32,48
"48","Bader, Katarina",1,1,1
"49","Badrije, Maia",1,1,1
"50","Bagheri-Goldschmied, Nahid",1,1,1
"51","Balfour, Liz",1,1,1
"52","Banciu, Carmen Francesca",3,1,1
"53","Baniewicz, Elżbieta",1,1,1
"54","Bánk, Zsuzsa",26,14,14
"55","Barbetta, María Cecilia",4,4,4
"56","Bareišienė, Laima",1,1,1
"57","Bärend, Irmhild",1,1,1
"58","Barényi, Olga",1,1,1
"59","Baronsky, Eva",9,7,8
"60","Bartsch, Carina",4,2,2
"61","Bauer, Jutta",1,1,1
